,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,power
0,0.0020855683674337665,4,4,1024,8192,8,2,2,3.9,4.794856,177.33,14.328339999999999
1,0.0020209471168663195,1,32,512,8192,2,4,8,2.0,4.948175,143.47,8.898462499999999
2,0.002075347999540933,6,512,32,4096,4,8,8,2.4,4.818469,70.056,10.377774
3,0.0020855648877632403,4,128,1024,512,4,2,8,2.4,4.794864,82.05,8.862448
4,0.0018199464195596926,13,64,256,4096,2,8,4,3.6,4.913151,423.01,44.313258000000005
5,0.0020534964576159357,10,512,512,64,4,8,8,2.7,4.869743,185.17,22.792690999999998
6,0.0020435726472705735,12,128,256,64,8,8,4,2.0,4.893391,146.01,20.429381000000003
7,10000.0,5,128,2,4096,4,8,2,2.5,10000.0,10000.0,10000.0
8,0.0020435722296517425,12,2,32,4096,8,2,2,2.0,4.893392,165.54,22.805054
9,0.0020804497433037084,5,512,32,2048,2,2,4,3.5,4.806653,303.49,22.447530999999998
10,21.78649237472767,1,128,8,32768,8,4,2,3.8,0.000459,25.99,
11,0.0020272667376210023,15,512,32,32768,4,4,4,2.0,4.93275,224.99,28.800941
12,0.0020855653227214205,4,32,2048,8192,8,2,2,2.7,4.794863,76.562,8.323682
13,0.0020568987561521844,9,64,64,8192,2,4,8,3.2,4.861688,154.13,18.416497
14,0.0020272737243228044,15,4,16,8192,2,4,8,3.5,4.932733,184.3,26.29625
15,0.0020304754053590336,14,2,2048,1024,2,2,8,3.4,4.924955,230.62,29.193516
16,0.002075349722370091,6,2048,16,64,2,4,2,2.7,4.818465,150.66,17.499736
17,10000.0,10,4,64,32768,2,8,2,3.0,10000.0,10000.0,10000.0
18,0.0020568987561521844,9,32,16,128,8,8,8,3.0,4.861688,132.45,15.814926
19,0.0020568987561521844,9,64,512,2048,8,8,8,3.0,4.861688,169.03,19.262542999999997
20,0.0020889831623779145,3,1024,8,1024,4,2,8,2.2,4.787018,64.267,7.359576
21,0.002075351445202109,6,64,128,1024,4,4,4,3.3,4.818461,80.658,10.840245
22,0.002065225607310568,8,2,8,2048,4,2,8,3.7,4.842086,100.57,13.793288
23,0.0020889866534642707,3,8,2048,128,4,8,2,3.1,4.78701,85.555,8.953643600000001
24,0.0020568987561521844,9,32,256,64,2,4,8,3.1,4.861688,112.36,16.074391000000002
25,0.0020485242124295027,11,256,256,512,8,4,2,2.5,4.881563,170.02,21.70607
26,0.0020304749930760806,14,256,8,2048,2,2,2,2.7,4.924956,181.1,25.541152
27,0.0020272667376210023,15,32,16,16384,8,8,2,2.0,4.93275,341.9,33.260162
28,0.0020855688023933986,4,128,16,64,4,4,2,3.8,4.794855,47.19,6.833101299999999
29,0.0020568957945737033,9,128,4,16384,2,8,4,2.5,4.861695,244.81,22.675853
30,0.0020702827882071724,7,32,256,512,2,4,8,3.8,4.830258,91.902,12.714903999999999
31,0.0020353536864631274,13,512,256,8192,4,2,2,3.9,4.913151,263.9,30.427623
32,0.0020435726472705735,12,1024,8,2048,2,2,4,2.0,4.893391,236.17,28.010347
33,0.0020485242124295027,11,1024,256,4096,8,8,8,2.5,4.881563,266.92,28.953356000000003
34,0.002075351445202109,6,8,1024,32768,4,8,8,3.8,4.818461,378.45,27.233705999999998
35,0.0020353528579305385,13,256,512,1024,8,4,8,2.9,4.913153,220.34,27.760804
36,0.002075349722370091,6,256,1024,16384,8,4,2,3.0,4.818465,242.55,21.293167999999998
37,0.0010952526957346907,15,128,1024,32768,8,8,4,2.2,4.932744,544.2,48.9057
38,0.0020485254713657106,11,8,2,32768,2,2,2,3.4,4.88156,349.2,30.408139
39,0.0020940711192621664,2,4,32,1024,8,2,4,2.1,4.775387,36.296,3.9477035000000003
40,0.002035353272196749,13,32,16,64,8,2,4,3.3,4.913152,164.97,21.952424
41,0.0020485263106573763,11,8,256,2048,8,2,4,3.2,4.881558,166.28,20.746485999999997
42,0.0020855679324743156,4,128,16,64,8,4,8,3.2,4.794857,55.172,7.1050962
43,0.0020485271499497294,11,256,512,64,2,8,2,3.6,4.881556,190.14,23.521132
44,10000.0,11,4,32,2048,8,8,4,2.0,10000.0,10000.0,10000.0
45,0.002075347138127427,6,256,512,64,2,8,2,2.2,4.818471,104.66,12.96858
46,0.0020889844715339307,3,128,32,64,2,2,4,2.4,4.787015,35.653,5.2236343
47,0.0020652213421625677,8,512,16,2048,2,8,8,2.2,4.842096,132.62,16.662348
48,0.0020753492916625333,6,1024,4,512,4,2,4,2.6,4.818466,116.57,13.794281
49,0.0020435755706071706,12,2,2,16384,2,2,8,2.7,4.893384,258.05,26.581636
50,0.0020855679324743156,4,4,512,16384,8,2,2,3.9,4.794857,186.67,14.813903499999999
51,0.002020947525289127,1,32,512,8192,2,4,8,2.1,4.948174,72.807,5.6123187
52,0.0020804475791703927,5,512,32,4096,4,8,8,2.5,4.806658,116.17,12.104376
53,0.0020855653227214205,4,128,512,512,4,2,4,2.5,4.794863,67.158,8.430785
54,0.0020435780763309107,12,64,128,4096,2,8,4,3.7,4.893378,192.9,22.992067000000002
55,0.0020568983330690217,9,512,512,64,4,8,8,2.8,4.861689,172.61,20.816550999999997
56,0.002048521694561728,11,128,128,128,8,8,4,2.1,4.881569,170.73,20.663857
57,10000.0,5,128,2,4096,4,4,2,2.6,10000.0,10000.0,10000.0
58,0.002048521694561728,11,4,32,4096,8,2,2,2.1,4.881569,171.51,20.399334
59,0.0020804497433037084,5,512,32,2048,4,2,4,3.6,4.806653,86.924,10.720903999999999
60,0.0015523663690416507,1,128,8,65536,8,4,2,3.7,4.944154,456.58,27.962546500000002
61,0.0015231547162244436,15,512,32,32768,4,4,4,2.1,4.932749,461.47,43.206795
